Date,SPY,TLT
2016-04-01,175.34532165527344,98.47455596923828
2016-04-04,174.7775421142578,98.53482818603516
2016-04-05,173.03189086914062,99.61248779296875
2016-04-06,174.921630859375,98.88907623291016
2016-04-07,172.82852172851562,100.10980987548828
2016-04-08,173.29454040527344,99.47681427001953
2016-04-11,172.88783264160156,99.3487319946289
2016-04-12,174.49789428710938,98.66295623779297
2016-04-13,176.260498046875,99.00961303710938
2016-04-14,176.26898193359375,98.53482818603516
2016-04-15,176.07412719726562,99.37882232666016
2016-04-18,177.3113250732422,98.94929504394531
2016-04-19,177.8705596923828,98.64041137695312
2016-04-20,178.04010009765625,97.55523681640625
2016-04-21,177.08250427246094,96.97501373291016
2016-04-22,177.08250427246094,96.7263412475586
2016-04-25,176.77740478515625,96.32697296142578
2016-04-26,177.04014587402344,95.8898696899414
2016-04-27,177.4044952392578,96.84690856933594
2016-04-28,175.79440307617188,97.24630737304688
2016-04-29,174.8453369140625,97.49494934082031
2016-05-02,176.23509216308594,96.51335906982422
2016-05-03,174.7012939453125,97.72909545898438
2016-05-04,173.726806640625,98.2651138305664
2016-05-05,173.69284057617188,98.92202758789062
2016-05-06,174.32846069335938,98.49919128417969
2016-05-09,174.47254943847656,98.80880737304688
2016-05-10,176.641845703125,98.8163833618164
2016-05-11,174.9893798828125,99.37508392333984
2016-05-12,175.04026794433594,98.92202758789062
2016-05-13,173.51492309570312,99.88102722167969
2016-05-16,175.22665405273438,99.02017974853516
2016-05-17,173.59121704101562,99.18634796142578
2016-05-18,173.6420135498047,97.77436828613281
2016-05-19,173.04037475585938,98.19721984863281
2016-05-20,174.13352966308594,98.27266693115234
2016-05-23,173.89627075195312,98.49166870117188
2016-05-24,176.15036010742188,98.05371856689453
2016-05-25,177.34524536132812,97.68376922607422
2016-05-26,177.39602661132812,98.18964385986328
2016-05-27,178.15869140625,98.04617309570312
2016-05-31,177.81976318359375,98.28031158447266
2016-06-01,178.1841278076172,98.67897033691406
2016-06-02,178.72647094726562,99.3902359008789
2016-06-03,178.19259643554688,100.80506896972656
2016-06-06,179.0992889404297,100.05603790283203
2016-06-07,179.3789825439453,100.29816436767578
2016-06-08,179.96368408203125,100.83538055419922
2016-06-09,179.71791076660156,101.48606872558594
2016-06-10,178.01466369628906,101.97783660888672
2016-06-13,176.641845703125,102.43182373046875
2016-06-14,176.29443359375,102.35623168945312
2016-06-15,176.04864501953125,102.74966430664062
2016-06-16,176.57406616210938,103.2490463256836
2016-06-17,175.91648864746094,102.6058578491211
2016-06-20,177.0493927001953,101.50880432128906
2016-06-21,177.55197143554688,101.0396728515625
2016-06-22,177.26234436035156,101.20612335205078
2016-06-23,179.5707244873047,100.04852294921875
2016-06-24,173.1224822998047,102.73451232910156
2016-06-27,170.02191162109375,105.29942321777344
2016-06-28,173.0884552001953,105.51882934570312
2016-06-29,176.03570556640625,104.70928192138672
2016-06-30,178.43785095214844,105.09516906738281
2016-07-01,178.8126983642578,106.55433654785156
2016-07-05,177.5264129638672,107.888427734375
2016-07-06,178.59115600585938,108.06279754638672
2016-07-07,178.48043823242188,108.05525207519531
2016-07-08,181.1380615234375,108.85116577148438
2016-07-11,181.77694702148438,107.8960189819336
2016-07-12,183.09725952148438,106.12228393554688
2016-07-13,183.0717010498047,107.37294006347656
2016-07-14,184.0939178466797,105.8115234375
2016-07-15,183.84681701660156,104.90185546875
2016-07-18,184.3409423828125,104.80331420898438
2016-07-19,184.1534881591797,105.39459991455078
2016-07-20,184.9200897216797,104.81847381591797
2016-07-21,184.22161865234375,105.03075408935547
2016-07-22,185.0479278564453,105.21269226074219
2016-07-25,184.54531860351562,105.13684844970703
2016-07-26,184.63055419921875,105.30364990234375
2016-07-27,184.43458557128906,106.6150131225586
2016-07-28,184.6475830078125,106.41789245605469
2016-07-29,184.9456787109375,107.30477142333984
2016-08-01,184.79238891601562,106.14140319824219
2016-08-02,183.60829162597656,105.0478744506836
2016-08-03,184.14492797851562,105.1086196899414
2016-08-04,184.3409423828125,105.89835357666016
2016-08-05,185.8486328125,104.79721069335938
2016-08-08,185.73782348632812,104.99464416503906
2016-08-09,185.8486328125,106.02743530273438
2016-08-10,185.38865661621094,106.43751525878906
2016-08-11,186.24893188476562,105.48826599121094
2016-08-12,186.08714294433594,106.37682342529297
2016-08-15,186.6237335205078,105.37435913085938
2016-08-16,185.6612091064453,105.09337615966797
2016-08-17,186.01046752929688,105.72369384765625
2016-08-18,186.4278106689453,105.89075469970703
2016-08-19,186.15530395507812,105.33639526367188
2016-08-22,186.14674377441406,106.22491455078125
2016-08-23,186.5215606689453,106.33880615234375
2016-08-24,185.56747436523438,106.0882568359375
2016-08-25,185.43975830078125,105.68573760986328
2016-08-26,185.09048461914062,105.07063293457031
2016-08-29,186.00193786621094,106.47550964355469
2016-08-30,185.6952667236328,106.06546783447266
2016-08-31,185.16717529296875,106.21731567382812
2016-09-01,185.17564392089844,106.33448028564453
2016-09-02,186.01046752929688,105.46717071533203
2016-09-06,186.57266235351562,106.23552703857422
2016-09-07,186.55560302734375,106.15946960449219
2016-09-08,186.12969970703125,104.8281021118164
2016-09-09,181.67471313476562,103.1011734008789
2016-09-12,184.28126525878906,103.15447235107422
2016-09-13,181.6321563720703,101.98281860351562
2016-09-14,181.56396484375,102.13497161865234
2016-09-15,183.37838745117188,101.69375610351562
2016-09-16,182.66946411132812,102.5153579711914
2016-09-19,182.70372009277344,102.18059539794922
2016-09-20,182.71231079101562,102.53815460205078
2016-09-21,184.76693725585938,103.36741638183594
2016-09-22,185.93124389648438,104.18910217285156
2016-09-23,184.91246032714844,104.09020233154297
2016-09-26,183.414306640625,104.75201416015625
2016-09-27,184.55294799804688,105.52043914794922
2016-09-28,185.46896362304688,105.29224395751953
2016-09-29,183.7909698486328,105.55846405029297
2016-09-30,185.17791748046875,104.6151123046875
2016-10-03,184.73268127441406,104.2698745727539
2016-10-04,183.7909698486328,103.05044555664062
2016-10-05,184.604248046875,102.57032012939453
2016-10-06,184.73268127441406,101.99869537353516
2016-10-07,184.09921264648438,102.06723022460938
2016-10-10,185.05812072753906,101.46514892578125
2016-10-11,182.72085571289062,101.23646545410156
2016-10-12,182.96058654785156,101.3355941772461
2016-10-13,182.36126708984375,101.71662139892578
2016-10-14,182.45545959472656,100.29145050048828
2016-10-17,181.82196044921875,100.931640625
2016-10-18,182.96058654785156,101.25939178466797
2016-10-19,183.4485321044922,101.34320068359375
2016-10-20,183.1061248779297,101.44987487792969
2016-10-21,183.1917266845703,101.60234832763672
2016-10-24,183.97080993652344,101.16029357910156
2016-10-25,183.35435485839844,101.42706298828125
2016-10-26,182.98631286621094,100.74109649658203
2016-10-27,182.498291015625,99.64360046386719
2016-10-28,181.95889282226562,99.42253112792969
2016-10-31,181.96746826171875,100.03231048583984
2016-11-01,180.64907836914062,100.03993225097656
2016-11-02,179.56175231933594,100.47521209716797
2016-11-03,178.73989868164062,99.70397186279297
2016-11-04,178.54296875,100.59736633300781
2016-11-07,182.48117065429688,99.74211883544922
2016-11-08,183.30299377441406,99.3374252319336
2016-11-09,185.24639892578125,95.12232971191406
